Area,ED,Energy,SS,ResidueLength,PairNumber
11521.5,31963.4,322694.0,37,203,1580
3668.18,2156.32,-475.708,7,43,161
7048.35,8524.0,-2436.0,52,110,483
14132.4,80260.5,1191.14,59,272,3539
10297.2,33327.4,994.702,121,176,1922
7949.83,16951.8,1925.72,185,133,890
13877.3,89630.8,-1152.51,224,254,3973
5985.33,11123.6,-122.311,256,102,764
7763.22,11699.9,625.331,94,114,689
15628.8,88282.2,-800.795,89,301,3369
19663.3,312346.0,-8441.0,174,431,9271
9452.9,11374.4,-1435.53,38,156,654
12569.0,71046.9,1410670.0,137,262,3211
6288.43,8307.89,-2148.3,12,100,551
4196.17,6246.35,-114.29,15,68,481
4960.71,6762.66,-3.8797,16,67,481
4402.27,6128.02,-537.47,8,68,481
15697.6,261372.0,-7499.73,113,346,7851
5338.8,4553.08,401250.0,11,79,342
7169.78,8875.1,-1186.64,136,95,543
13203.9,90468.9,-4710.24,213,254,3885
5090.28,3447.0,-1348.0,9,81,247
6073.24,5264.39,-331.902,104,96,347
12688.5,62093.2,1013.66,160,233,2897
6338.94,8135.47,-3208.2,4,106,549
5097.09,2998.25,-1860.7,3,65,202
5997.43,1062.44,-1545.0,7,57,76
5419.76,4041.86,-1288.8,12,85,267
6881.46,13956.0,-2198.0,73,118,845
3351.64,678.63,-398.73,6,31,53
3683.0,669.45,200.61,24,58,43
9146.14,27716.4,-722.628,172,158,1403
24401.5,271238.0,-376.643,282,537,8350
3829.77,2124.48,-349.96,12,43,161
6095.02,8126.75,-3480.1,5,106,549
3623.9,351.269,1556.5,11,54,28
20943.8,148080.0,-599.336,339,449,5537
9996.25,27558.0,-4172.0,101,199,1523
7268.39,9639.25,-1181.72,194,138,554
4575.56,1044.65,-497.38,28,62,102
9940.84,26231.3,-1495.11,150,174,1415
7167.17,5395.72,-827.446,42,79,292
12813.0,145727.0,-7123.0,27,279,5938
7905.75,19495.0,-3632.0,55,151,1162
21687.9,271401.0,-10382.0,108,449,7353
6539.9,5652.81,-969.768,6,95,372
7675.84,9410.29,-2537.54,199,130,490
10604.2,32823.1,803.983,104,176,1922
17963.1,163471.0,2005.59,219,352,6744
16231.7,166413.0,-9430.0,86,331,5959
4075.22,2237.16,-1030.48,180,54,165
14097.2,74090.0,-10355.0,140,325,3223
16971.6,116527.0,-12984.0,248,382,4538
6694.78,6791.19,-951.975,86,95,427
4000.55,2186.75,-1283.4,17,63,184
9782.5,27772.1,-1465.38,157,158,1403
4262.49,804.503,-1577.8,13,54,64
